,trade_date
1498,1996-11-22
1499,1996-11-25
1500,1996-11-26
1501,1996-11-27
1502,1996-11-28
1503,1996-11-29
1504,1996-12-02
1505,1996-12-03
1506,1996-12-04
1507,1996-12-05
1508,1996-12-06
1509,1996-12-09
1510,1996-12-10
1511,1996-12-11
1512,1996-12-12
1513,1996-12-13
1514,1996-12-16
1515,1996-12-17
1516,1996-12-18
1517,1996-12-19
1518,1996-12-20
1519,1996-12-23
1520,1996-12-24
1521,1996-12-25
1522,1996-12-26
1523,1996-12-27
1524,1996-12-30
1525,1996-12-31
1526,1997-01-02
1527,1997-01-03
1528,1997-01-06
1529,1997-01-07
1530,1997-01-08
1531,1997-01-09
1532,1997-01-10
1533,1997-01-13
1534,1997-01-14
1535,1997-01-15
1536,1997-01-16
1537,1997-01-17
1538,1997-01-20
1539,1997-01-21
1540,1997-01-22
1541,1997-01-23
1542,1997-01-24
1543,1997-01-27
1544,1997-01-28
1545,1997-01-29
1546,1997-01-30
1547,1997-01-31
1548,1997-02-17
1549,1997-02-18
1550,1997-02-19
1551,1997-02-20
1552,1997-02-21
1553,1997-02-24
1554,1997-02-25
1555,1997-02-26
1556,1997-02-27
1557,1997-02-28
1558,1997-03-03
1559,1997-03-04
1560,1997-03-05
1561,1997-03-06
1562,1997-03-07
1563,1997-03-10
1564,1997-03-11
1565,1997-03-12
1566,1997-03-13
1567,1997-03-14
1568,1997-03-17
1569,1997-03-18
1570,1997-03-19
1571,1997-03-20
1572,1997-03-21
1573,1997-03-24
1574,1997-03-25
1575,1997-03-26
1576,1997-03-27
1577,1997-03-28
1578,1997-03-31
1579,1997-04-01
1580,1997-04-02
1581,1997-04-03
1582,1997-04-04
1583,1997-04-07
1584,1997-04-08
1585,1997-04-09
1586,1997-04-10
1587,1997-04-11
1588,1997-04-14
1589,1997-04-15
1590,1997-04-16
1591,1997-04-17
1592,1997-04-18
1593,1997-04-21
1594,1997-04-22
1595,1997-04-23
1596,1997-04-24
1597,1997-04-25
1598,1997-04-28
1599,1997-04-29
1600,1997-04-30
1601,1997-05-05
1602,1997-05-06
1603,1997-05-07
1604,1997-05-08
1605,1997-05-09
1606,1997-05-12
1607,1997-05-13
1608,1997-05-14
1609,1997-05-15
1610,1997-05-16
1611,1997-05-19
1612,1997-05-20
1613,1997-05-21
1614,1997-05-22
1615,1997-05-23
1616,1997-05-26
1617,1997-05-27
1618,1997-05-28
1619,1997-05-29
1620,1997-05-30
1621,1997-06-02
1622,1997-06-03
1623,1997-06-04
1624,1997-06-05
1625,1997-06-06
1626,1997-06-09
1627,1997-06-10
1628,1997-06-11
1629,1997-06-12
1630,1997-06-13
1631,1997-06-16
1632,1997-06-17
1633,1997-06-18
1634,1997-06-19
1635,1997-06-20
1636,1997-06-23
1637,1997-06-24
1638,1997-06-25
1639,1997-06-26
1640,1997-06-27
1641,1997-07-02
1642,1997-07-03
1643,1997-07-04
1644,1997-07-07
1645,1997-07-08
1646,1997-07-09
1647,1997-07-10
1648,1997-07-11
1649,1997-07-14
1650,1997-07-15
1651,1997-07-16
1652,1997-07-17
1653,1997-07-18
1654,1997-07-21
1655,1997-07-22
1656,1997-07-23
1657,1997-07-24
1658,1997-07-25
1659,1997-07-28
1660,1997-07-29
1661,1997-07-30
1662,1997-07-31
1663,1997-08-01
1664,1997-08-04
1665,1997-08-05
1666,1997-08-06
1667,1997-08-07
1668,1997-08-08
1669,1997-08-11
1670,1997-08-12
1671,1997-08-13
1672,1997-08-14
1673,1997-08-15
1674,1997-08-18
1675,1997-08-19
1676,1997-08-20
1677,1997-08-21
1678,1997-08-22
1679,1997-08-25
1680,1997-08-26
1681,1997-08-27
1682,1997-08-28
1683,1997-08-29
1684,1997-09-01
1685,1997-09-02
1686,1997-09-03
1687,1997-09-04
1688,1997-09-05
1689,1997-09-08
1690,1997-09-09
1691,1997-09-10
1692,1997-09-11
1693,1997-09-12
1694,1997-09-15
1695,1997-09-16
1696,1997-09-17
1697,1997-09-18
1698,1997-09-19
1699,1997-09-22
1700,1997-09-23
1701,1997-09-24
1702,1997-09-25
1703,1997-09-26
1704,1997-09-29
1705,1997-09-30
1706,1997-10-06
1707,1997-10-07
1708,1997-10-08
1709,1997-10-09
1710,1997-10-10
1711,1997-10-13
1712,1997-10-14
1713,1997-10-15
1714,1997-10-16
1715,1997-10-17
1716,1997-10-20
1717,1997-10-21
1718,1997-10-22
1719,1997-10-23
1720,1997-10-24
1721,1997-10-27
1722,1997-10-28
1723,1997-10-29
1724,1997-10-30
1725,1997-10-31
1726,1997-11-03
1727,1997-11-04
1728,1997-11-05
1729,1997-11-06
1730,1997-11-07
1731,1997-11-10
1732,1997-11-11
1733,1997-11-12
1734,1997-11-13
1735,1997-11-14
1736,1997-11-17
1737,1997-11-18
1738,1997-11-19
1739,1997-11-20
1740,1997-11-21
1741,1997-11-24
1742,1997-11-25
1743,1997-11-26
1744,1997-11-27
1745,1997-11-28
1746,1997-12-01
1747,1997-12-02
1748,1997-12-03
1749,1997-12-04
1750,1997-12-05
1751,1997-12-08
1752,1997-12-09
1753,1997-12-10
1754,1997-12-11
1755,1997-12-12
1756,1997-12-15
1757,1997-12-16
1758,1997-12-17
1759,1997-12-18
1760,1997-12-19
1761,1997-12-22
1762,1997-12-23
1763,1997-12-24
1764,1997-12-25
1765,1997-12-26
1766,1997-12-29
1767,1997-12-30
1768,1997-12-31
1769,1998-01-05
1770,1998-01-06
1771,1998-01-07
1772,1998-01-08
1773,1998-01-09
1774,1998-01-12
1775,1998-01-13
1776,1998-01-14
1777,1998-01-15
1778,1998-01-16
1779,1998-01-19
1780,1998-01-20
1781,1998-01-21
1782,1998-01-22
1783,1998-01-23
1784,1998-02-09
1785,1998-02-10
1786,1998-02-11
1787,1998-02-12
1788,1998-02-13
1789,1998-02-16
1790,1998-02-17
1791,1998-02-18
1792,1998-02-19
1793,1998-02-20
1794,1998-02-23
1795,1998-02-24
1796,1998-02-25
1797,1998-02-26
1798,1998-02-27
1799,1998-03-02
1800,1998-03-03
1801,1998-03-04
1802,1998-03-05
1803,1998-03-06
1804,1998-03-09
1805,1998-03-10
1806,1998-03-11
1807,1998-03-12
1808,1998-03-13
1809,1998-03-16
1810,1998-03-17
1811,1998-03-18
1812,1998-03-19
1813,1998-03-20
1814,1998-03-23
1815,1998-03-24
1816,1998-03-25
1817,1998-03-26
1818,1998-03-27
1819,1998-03-30
1820,1998-03-31
1821,1998-04-01
1822,1998-04-02
1823,1998-04-03
1824,1998-04-06
1825,1998-04-07
1826,1998-04-08
1827,1998-04-09
1828,1998-04-10
1829,1998-04-13
1830,1998-04-14
1831,1998-04-15
1832,1998-04-16
1833,1998-04-17
1834,1998-04-20
1835,1998-04-21
1836,1998-04-22
1837,1998-04-23
1838,1998-04-24
1839,1998-04-27
1840,1998-04-28
1841,1998-04-29
1842,1998-04-30
1843,1998-05-04
1844,1998-05-05
1845,1998-05-06
1846,1998-05-07
1847,1998-05-08
1848,1998-05-11
1849,1998-05-12
1850,1998-05-13
1851,1998-05-14
1852,1998-05-15
1853,1998-05-18
1854,1998-05-19
1855,1998-05-20
1856,1998-05-21
1857,1998-05-22
1858,1998-05-25
1859,1998-05-26
1860,1998-05-27
1861,1998-05-28
1862,1998-05-29
1863,1998-06-01
1864,1998-06-02
1865,1998-06-03
1866,1998-06-04
1867,1998-06-05
1868,1998-06-08
1869,1998-06-09
1870,1998-06-10
1871,1998-06-11
1872,1998-06-12
1873,1998-06-15
1874,1998-06-16
1875,1998-06-17
1876,1998-06-18
1877,1998-06-19
1878,1998-06-22
1879,1998-06-23
1880,1998-06-24
1881,1998-06-25
1882,1998-06-26
1883,1998-06-29
1884,1998-06-30
1885,1998-07-01
1886,1998-07-02
1887,1998-07-03
1888,1998-07-06
1889,1998-07-07
1890,1998-07-08
1891,1998-07-09
1892,1998-07-10
1893,1998-07-13
1894,1998-07-14
1895,1998-07-15
1896,1998-07-16
1897,1998-07-17
1898,1998-07-20
1899,1998-07-21
1900,1998-07-22
1901,1998-07-23
1902,1998-07-24
1903,1998-07-27
1904,1998-07-28
1905,1998-07-29
1906,1998-07-30
1907,1998-07-31
1908,1998-08-03
1909,1998-08-04
1910,1998-08-05
1911,1998-08-06
1912,1998-08-07
1913,1998-08-10
1914,1998-08-11
1915,1998-08-12
1916,1998-08-13
1917,1998-08-14
1918,1998-08-17
1919,1998-08-18
1920,1998-08-19
1921,1998-08-20
1922,1998-08-21
1923,1998-08-24
1924,1998-08-25
1925,1998-08-26
1926,1998-08-27
1927,1998-08-28
1928,1998-08-31
1929,1998-09-01
1930,1998-09-02
1931,1998-09-03
1932,1998-09-04
1933,1998-09-07
1934,1998-09-08
1935,1998-09-09
1936,1998-09-10
1937,1998-09-11
1938,1998-09-14
1939,1998-09-15
1940,1998-09-16
1941,1998-09-17
1942,1998-09-18
1943,1998-09-21
1944,1998-09-22
1945,1998-09-23
1946,1998-09-24
1947,1998-09-25
1948,1998-09-28
1949,1998-09-29
1950,1998-09-30
1951,1998-10-05
1952,1998-10-06
1953,1998-10-07
1954,1998-10-08
1955,1998-10-09
1956,1998-10-12
1957,1998-10-13
1958,1998-10-14
1959,1998-10-15
1960,1998-10-16
1961,1998-10-19
1962,1998-10-20
1963,1998-10-21
1964,1998-10-22
1965,1998-10-23
1966,1998-10-26
1967,1998-10-27
1968,1998-10-28
1969,1998-10-29
1970,1998-10-30
1971,1998-11-02
1972,1998-11-03
1973,1998-11-04
1974,1998-11-05
1975,1998-11-06
1976,1998-11-09
1977,1998-11-10
1978,1998-11-11
1979,1998-11-12
1980,1998-11-13
1981,1998-11-16
1982,1998-11-17
1983,1998-11-18
1984,1998-11-19
1985,1998-11-20
1986,1998-11-23
1987,1998-11-24
1988,1998-11-25
1989,1998-11-26
1990,1998-11-27
1991,1998-11-30
1992,1998-12-01
1993,1998-12-02
1994,1998-12-03
1995,1998-12-04
1996,1998-12-07
1997,1998-12-08
1998,1998-12-09
1999,1998-12-10
2000,1998-12-11
2001,1998-12-14
2002,1998-12-15
2003,1998-12-16
2004,1998-12-17
2005,1998-12-18
2006,1998-12-21
2007,1998-12-22
2008,1998-12-23
2009,1998-12-24
2010,1998-12-25
2011,1998-12-28
2012,1998-12-29
2013,1998-12-30
2014,1998-12-31
2015,1999-01-04
2016,1999-01-05
2017,1999-01-06
2018,1999-01-07
2019,1999-01-08
2020,1999-01-11
2021,1999-01-12
2022,1999-01-13
2023,1999-01-14
2024,1999-01-15
2025,1999-01-18
2026,1999-01-19
2027,1999-01-20
2028,1999-01-21
2029,1999-01-22
2030,1999-01-25
2031,1999-01-26
2032,1999-01-27
2033,1999-01-28
2034,1999-01-29
2035,1999-02-01
2036,1999-02-02
2037,1999-02-03
2038,1999-02-04
2039,1999-02-05
2040,1999-02-08
2041,1999-02-09
2042,1999-03-01
2043,1999-03-02
2044,1999-03-03
2045,1999-03-04
2046,1999-03-05
2047,1999-03-08
2048,1999-03-09
2049,1999-03-10
2050,1999-03-11
2051,1999-03-12
2052,1999-03-15
2053,1999-03-16
2054,1999-03-17
2055,1999-03-18
2056,1999-03-19
2057,1999-03-22
2058,1999-03-23
2059,1999-03-24
2060,1999-03-25
2061,1999-03-26
2062,1999-03-29
2063,1999-03-30
2064,1999-03-31
2065,1999-04-01
2066,1999-04-02
2067,1999-04-05
2068,1999-04-06
2069,1999-04-07
2070,1999-04-08
2071,1999-04-09
2072,1999-04-12
2073,1999-04-13
2074,1999-04-14
2075,1999-04-15
2076,1999-04-16
2077,1999-04-19
2078,1999-04-20
2079,1999-04-21
2080,1999-04-22
2081,1999-04-23
2082,1999-04-26
2083,1999-04-27
2084,1999-04-28
2085,1999-04-29
2086,1999-04-30
2087,1999-05-04
2088,1999-05-05
2089,1999-05-06
2090,1999-05-07
2091,1999-05-10
2092,1999-05-11
2093,1999-05-12
2094,1999-05-13
2095,1999-05-14
2096,1999-05-17
2097,1999-05-18
2098,1999-05-19
2099,1999-05-20
2100,1999-05-21
2101,1999-05-24
2102,1999-05-25
2103,1999-05-26
2104,1999-05-27
2105,1999-05-28
2106,1999-05-31
2107,1999-06-01
2108,1999-06-02
2109,1999-06-03
2110,1999-06-04
2111,1999-06-07
2112,1999-06-08
2113,1999-06-09
2114,1999-06-10
2115,1999-06-11
2116,1999-06-14
2117,1999-06-15
2118,1999-06-16
2119,1999-06-17
2120,1999-06-18
2121,1999-06-21
2122,1999-06-22
2123,1999-06-23
2124,1999-06-24
2125,1999-06-25
2126,1999-06-28
2127,1999-06-29
2128,1999-06-30
2129,1999-07-01
2130,1999-07-02
2131,1999-07-05
2132,1999-07-06
2133,1999-07-07
2134,1999-07-08
2135,1999-07-09
2136,1999-07-12
2137,1999-07-13
2138,1999-07-14
2139,1999-07-15
2140,1999-07-16
2141,1999-07-19
2142,1999-07-20
2143,1999-07-21
2144,1999-07-22
2145,1999-07-23
2146,1999-07-26
2147,1999-07-27
2148,1999-07-28
2149,1999-07-29
2150,1999-07-30
2151,1999-08-02
2152,1999-08-03
2153,1999-08-04
2154,1999-08-05
2155,1999-08-06
2156,1999-08-09
2157,1999-08-10
2158,1999-08-11
2159,1999-08-12
2160,1999-08-13
2161,1999-08-16
2162,1999-08-17
2163,1999-08-18
2164,1999-08-19
2165,1999-08-20
2166,1999-08-23
2167,1999-08-24
2168,1999-08-25
2169,1999-08-26
2170,1999-08-27
2171,1999-08-30
2172,1999-08-31
2173,1999-09-01
2174,1999-09-02
2175,1999-09-03
2176,1999-09-06
2177,1999-09-07
2178,1999-09-08
2179,1999-09-09
2180,1999-09-10
2181,1999-09-13
2182,1999-09-14
2183,1999-09-15
2184,1999-09-16
2185,1999-09-17
2186,1999-09-20
2187,1999-09-21
2188,1999-09-22
2189,1999-09-23
2190,1999-09-24
2191,1999-09-27
2192,1999-09-28
2193,1999-09-29
2194,1999-09-30
2195,1999-10-08
2196,1999-10-11
2197,1999-10-12
2198,1999-10-13
2199,1999-10-14
2200,1999-10-15
2201,1999-10-18
2202,1999-10-19
2203,1999-10-20
2204,1999-10-21
2205,1999-10-22
2206,1999-10-25
2207,1999-10-26
2208,1999-10-27
2209,1999-10-28
2210,1999-10-29
2211,1999-11-01
2212,1999-11-02
2213,1999-11-03
2214,1999-11-04
2215,1999-11-05
2216,1999-11-08
2217,1999-11-09
2218,1999-11-10
2219,1999-11-11
2220,1999-11-12
2221,1999-11-15
2222,1999-11-16
2223,1999-11-17
2224,1999-11-18
2225,1999-11-19
2226,1999-11-22
2227,1999-11-23
2228,1999-11-24
2229,1999-11-25
2230,1999-11-26
2231,1999-11-29
2232,1999-11-30
2233,1999-12-01
2234,1999-12-02
2235,1999-12-03
2236,1999-12-06
2237,1999-12-07
2238,1999-12-08
2239,1999-12-09
2240,1999-12-10
2241,1999-12-13
2242,1999-12-14
2243,1999-12-15
2244,1999-12-16
2245,1999-12-17
2246,1999-12-21
2247,1999-12-22
2248,1999-12-23
2249,1999-12-24
2250,1999-12-27
2251,1999-12-28
2252,1999-12-29
2253,1999-12-30
2254,2000-01-04
2255,2000-01-05
2256,2000-01-06
2257,2000-01-07
2258,2000-01-10
2259,2000-01-11
2260,2000-01-12
2261,2000-01-13
2262,2000-01-14
2263,2000-01-17
2264,2000-01-18
2265,2000-01-19
2266,2000-01-20
2267,2000-01-21
2268,2000-01-24
2269,2000-01-25
2270,2000-01-26
2271,2000-01-27
2272,2000-01-28
2273,2000-02-14
2274,2000-02-15
2275,2000-02-16
2276,2000-02-17
2277,2000-02-18
2278,2000-02-21
2279,2000-02-22
2280,2000-02-23
2281,2000-02-24
2282,2000-02-25
2283,2000-02-28
2284,2000-02-29
2285,2000-03-01
2286,2000-03-02
2287,2000-03-03
2288,2000-03-06
2289,2000-03-07
2290,2000-03-08
2291,2000-03-09
2292,2000-03-10
2293,2000-03-13
2294,2000-03-14
2295,2000-03-15
2296,2000-03-16
2297,2000-03-17
2298,2000-03-20
2299,2000-03-21
2300,2000-03-22
2301,2000-03-23
2302,2000-03-24
2303,2000-03-27
2304,2000-03-28
2305,2000-03-29
2306,2000-03-30
2307,2000-03-31
2308,2000-04-03
2309,2000-04-04
2310,2000-04-05
2311,2000-04-06
2312,2000-04-07
2313,2000-04-10
2314,2000-04-11
2315,2000-04-12
2316,2000-04-13
2317,2000-04-14
2318,2000-04-17
2319,2000-04-18
2320,2000-04-19
2321,2000-04-20
2322,2000-04-21
2323,2000-04-24
2324,2000-04-25
2325,2000-04-26
2326,2000-04-27
2327,2000-04-28
2328,2000-05-08
2329,2000-05-09
2330,2000-05-10
2331,2000-05-11
2332,2000-05-12
2333,2000-05-15
2334,2000-05-16
2335,2000-05-17
2336,2000-05-18
2337,2000-05-19
2338,2000-05-22
2339,2000-05-23
2340,2000-05-24
2341,2000-05-25
2342,2000-05-26
2343,2000-05-29
2344,2000-05-30
2345,2000-05-31
2346,2000-06-01
2347,2000-06-02
2348,2000-06-05
2349,2000-06-06
2350,2000-06-07
2351,2000-06-08
2352,2000-06-09
2353,2000-06-12
2354,2000-06-13
2355,2000-06-14
2356,2000-06-15
2357,2000-06-16
2358,2000-06-19
2359,2000-06-20
2360,2000-06-21
2361,2000-06-22
2362,2000-06-23
2363,2000-06-26
2364,2000-06-27
2365,2000-06-28
2366,2000-06-29
2367,2000-06-30
2368,2000-07-03
2369,2000-07-04
2370,2000-07-05
2371,2000-07-06
2372,2000-07-07
2373,2000-07-10
2374,2000-07-11
2375,2000-07-12
2376,2000-07-13
2377,2000-07-14
2378,2000-07-17
2379,2000-07-18
2380,2000-07-19
2381,2000-07-20
2382,2000-07-21
2383,2000-07-24
2384,2000-07-25
2385,2000-07-26
2386,2000-07-27
2387,2000-07-28
2388,2000-07-31
2389,2000-08-01
2390,2000-08-02
2391,2000-08-03
2392,2000-08-04
2393,2000-08-07
2394,2000-08-08
2395,2000-08-09
2396,2000-08-10
2397,2000-08-11
2398,2000-08-14
2399,2000-08-15
2400,2000-08-16
2401,2000-08-17
2402,2000-08-18
2403,2000-08-21
2404,2000-08-22
2405,2000-08-23
2406,2000-08-24
2407,2000-08-25
2408,2000-08-28
2409,2000-08-29
2410,2000-08-30
2411,2000-08-31
2412,2000-09-01
2413,2000-09-04
2414,2000-09-05
2415,2000-09-06
2416,2000-09-07
2417,2000-09-08
2418,2000-09-11
2419,2000-09-12
2420,2000-09-13
2421,2000-09-14
2422,2000-09-15
2423,2000-09-18
2424,2000-09-19
2425,2000-09-20
2426,2000-09-21
2427,2000-09-22
2428,2000-09-25
2429,2000-09-26
2430,2000-09-27
2431,2000-09-28
2432,2000-09-29
2433,2000-10-09
2434,2000-10-10
2435,2000-10-11
2436,2000-10-12
2437,2000-10-13
2438,2000-10-16
2439,2000-10-17
2440,2000-10-18
2441,2000-10-19
2442,2000-10-20
2443,2000-10-23
2444,2000-10-24
2445,2000-10-25
2446,2000-10-26
2447,2000-10-27
2448,2000-10-30
2449,2000-10-31
2450,2000-11-01
2451,2000-11-02
2452,2000-11-03
2453,2000-11-06
2454,2000-11-07
2455,2000-11-08
2456,2000-11-09
2457,2000-11-10
2458,2000-11-13
2459,2000-11-14
2460,2000-11-15
2461,2000-11-16
2462,2000-11-17
2463,2000-11-20
2464,2000-11-21
2465,2000-11-22
2466,2000-11-23
2467,2000-11-24
2468,2000-11-27
2469,2000-11-28
2470,2000-11-29
2471,2000-11-30
2472,2000-12-01
2473,2000-12-04
2474,2000-12-05
2475,2000-12-06
2476,2000-12-07
2477,2000-12-08
2478,2000-12-11
2479,2000-12-12
2480,2000-12-13
2481,2000-12-14
2482,2000-12-15
2483,2000-12-18
2484,2000-12-19
2485,2000-12-20
2486,2000-12-21
2487,2000-12-22
2488,2000-12-25
2489,2000-12-26
2490,2000-12-27
2491,2000-12-28
2492,2000-12-29
2493,2001-01-02
2494,2001-01-03
2495,2001-01-04
2496,2001-01-05
2497,2001-01-08
2498,2001-01-09
2499,2001-01-10
2500,2001-01-11
2501,2001-01-12
2502,2001-01-15
2503,2001-01-16
2504,2001-01-17
2505,2001-01-18
2506,2001-01-19
2507,2001-02-05
2508,2001-02-06
2509,2001-02-07
2510,2001-02-08
2511,2001-02-09
2512,2001-02-12
2513,2001-02-13
2514,2001-02-14
2515,2001-02-15
2516,2001-02-16
2517,2001-02-19
2518,2001-02-20
2519,2001-02-21
2520,2001-02-22
2521,2001-02-23
2522,2001-02-26
2523,2001-02-27
2524,2001-02-28
2525,2001-03-01
2526,2001-03-02
2527,2001-03-05
2528,2001-03-06
2529,2001-03-07
2530,2001-03-08
2531,2001-03-09
2532,2001-03-12
2533,2001-03-13
2534,2001-03-14
2535,2001-03-15
2536,2001-03-16
2537,2001-03-19
2538,2001-03-20
2539,2001-03-21
2540,2001-03-22
2541,2001-03-23
2542,2001-03-26
2543,2001-03-27
2544,2001-03-28
2545,2001-03-29
2546,2001-03-30
2547,2001-04-02
2548,2001-04-03
2549,2001-04-04
2550,2001-04-05
2551,2001-04-06
2552,2001-04-09
2553,2001-04-10
2554,2001-04-11
2555,2001-04-12
2556,2001-04-13
2557,2001-04-16
2558,2001-04-17
2559,2001-04-18
2560,2001-04-19
2561,2001-04-20
2562,2001-04-23
2563,2001-04-24
2564,2001-04-25
2565,2001-04-26
2566,2001-04-27
2567,2001-04-30
2568,2001-05-08
2569,2001-05-09
2570,2001-05-10
2571,2001-05-11
2572,2001-05-14
2573,2001-05-15
2574,2001-05-16
2575,2001-05-17
2576,2001-05-18
2577,2001-05-21
2578,2001-05-22
2579,2001-05-23
2580,2001-05-24
2581,2001-05-25
2582,2001-05-28
2583,2001-05-29
2584,2001-05-30
2585,2001-05-31
2586,2001-06-01
2587,2001-06-04
2588,2001-06-05
2589,2001-06-06
2590,2001-06-07
2591,2001-06-08
2592,2001-06-11
2593,2001-06-12
2594,2001-06-13
2595,2001-06-14
2596,2001-06-15
2597,2001-06-18
2598,2001-06-19
2599,2001-06-20
2600,2001-06-21
2601,2001-06-22
2602,2001-06-25
2603,2001-06-26
2604,2001-06-27
2605,2001-06-28
2606,2001-06-29
2607,2001-07-02
2608,2001-07-03
2609,2001-07-04
2610,2001-07-05
2611,2001-07-06
2612,2001-07-09
2613,2001-07-10
2614,2001-07-11
2615,2001-07-12
2616,2001-07-13
2617,2001-07-16
2618,2001-07-17
2619,2001-07-18
2620,2001-07-19
2621,2001-07-20
2622,2001-07-23
2623,2001-07-24
2624,2001-07-25
2625,2001-07-26
2626,2001-07-27
2627,2001-07-30
2628,2001-07-31
2629,2001-08-01
2630,2001-08-02
2631,2001-08-03
2632,2001-08-06
2633,2001-08-07
2634,2001-08-08
2635,2001-08-09
2636,2001-08-10
2637,2001-08-13
2638,2001-08-14
2639,2001-08-15
2640,2001-08-16
2641,2001-08-17
2642,2001-08-20
2643,2001-08-21
2644,2001-08-22
2645,2001-08-23
2646,2001-08-24
2647,2001-08-27
2648,2001-08-28
2649,2001-08-29
2650,2001-08-30
2651,2001-08-31
2652,2001-09-03
2653,2001-09-04
2654,2001-09-05
2655,2001-09-06
2656,2001-09-07
2657,2001-09-10
2658,2001-09-11
2659,2001-09-12
2660,2001-09-13
2661,2001-09-14
2662,2001-09-17
2663,2001-09-18
2664,2001-09-19
2665,2001-09-20
2666,2001-09-21
2667,2001-09-24
2668,2001-09-25
2669,2001-09-26
2670,2001-09-27
2671,2001-09-28
2672,2001-10-08
2673,2001-10-09
2674,2001-10-10
2675,2001-10-11
2676,2001-10-12
2677,2001-10-15
2678,2001-10-16
2679,2001-10-17
2680,2001-10-18
2681,2001-10-19
2682,2001-10-22
2683,2001-10-23
2684,2001-10-24
2685,2001-10-25
2686,2001-10-26
2687,2001-10-29
2688,2001-10-30
2689,2001-10-31
2690,2001-11-01
2691,2001-11-02
2692,2001-11-05
2693,2001-11-06
2694,2001-11-07
2695,2001-11-08
2696,2001-11-09
2697,2001-11-12
2698,2001-11-13
2699,2001-11-14
2700,2001-11-15
2701,2001-11-16
2702,2001-11-19
2703,2001-11-20
2704,2001-11-21
2705,2001-11-22
2706,2001-11-23
2707,2001-11-26
2708,2001-11-27
2709,2001-11-28
2710,2001-11-29
2711,2001-11-30
2712,2001-12-03
2713,2001-12-04
2714,2001-12-05
2715,2001-12-06
2716,2001-12-07
2717,2001-12-10
2718,2001-12-11
2719,2001-12-12
2720,2001-12-13
2721,2001-12-14
2722,2001-12-17
2723,2001-12-18
2724,2001-12-19
2725,2001-12-20
2726,2001-12-21
2727,2001-12-24
2728,2001-12-25
2729,2001-12-26
2730,2001-12-27
2731,2001-12-28
2732,2001-12-31
2733,2002-01-04
2734,2002-01-07
2735,2002-01-08
2736,2002-01-09
2737,2002-01-10
2738,2002-01-11
2739,2002-01-14
2740,2002-01-15
2741,2002-01-16
2742,2002-01-17
2743,2002-01-18
2744,2002-01-21
2745,2002-01-22
2746,2002-01-23
2747,2002-01-24
2748,2002-01-25
2749,2002-01-28
2750,2002-01-29
2751,2002-01-30
2752,2002-01-31
2753,2002-02-01
2754,2002-02-04
2755,2002-02-05
2756,2002-02-06
2757,2002-02-07
2758,2002-02-08
2759,2002-02-25
2760,2002-02-26
2761,2002-02-27
2762,2002-02-28
2763,2002-03-01
2764,2002-03-04
2765,2002-03-05
2766,2002-03-06
2767,2002-03-07
2768,2002-03-08
2769,2002-03-11
2770,2002-03-12
2771,2002-03-13
2772,2002-03-14
2773,2002-03-15
2774,2002-03-18
2775,2002-03-19
2776,2002-03-20
2777,2002-03-21
2778,2002-03-22
2779,2002-03-25
2780,2002-03-26
2781,2002-03-27
2782,2002-03-28
2783,2002-03-29
2784,2002-04-01
2785,2002-04-02
2786,2002-04-03
2787,2002-04-04
2788,2002-04-05
2789,2002-04-08
2790,2002-04-09
2791,2002-04-10
2792,2002-04-11
2793,2002-04-12
2794,2002-04-15
2795,2002-04-16
2796,2002-04-17
2797,2002-04-18
2798,2002-04-19
2799,2002-04-22
2800,2002-04-23
2801,2002-04-24
2802,2002-04-25
2803,2002-04-26
2804,2002-04-29
2805,2002-04-30
2806,2002-05-08
2807,2002-05-09
2808,2002-05-10
2809,2002-05-13
2810,2002-05-14
2811,2002-05-15
2812,2002-05-16
2813,2002-05-17
2814,2002-05-20
2815,2002-05-21
2816,2002-05-22
2817,2002-05-23
2818,2002-05-24
2819,2002-05-27
2820,2002-05-28
2821,2002-05-29
2822,2002-05-30
2823,2002-05-31
2824,2002-06-03
2825,2002-06-04
2826,2002-06-05
2827,2002-06-06
2828,2002-06-07
2829,2002-06-10
2830,2002-06-11
2831,2002-06-12
2832,2002-06-13
2833,2002-06-14
2834,2002-06-17
2835,2002-06-18
2836,2002-06-19
2837,2002-06-20
2838,2002-06-21
2839,2002-06-24
2840,2002-06-25
2841,2002-06-26
2842,2002-06-27
2843,2002-06-28
2844,2002-07-01
2845,2002-07-02
2846,2002-07-03
2847,2002-07-04
2848,2002-07-05
2849,2002-07-08
2850,2002-07-09
2851,2002-07-10
2852,2002-07-11
2853,2002-07-12
2854,2002-07-15
2855,2002-07-16
2856,2002-07-17
2857,2002-07-18
2858,2002-07-19
2859,2002-07-22
2860,2002-07-23
2861,2002-07-24
2862,2002-07-25
2863,2002-07-26
2864,2002-07-29
2865,2002-07-30
2866,2002-07-31
2867,2002-08-01
2868,2002-08-02
2869,2002-08-05
2870,2002-08-06
2871,2002-08-07
2872,2002-08-08
2873,2002-08-09
2874,2002-08-12
2875,2002-08-13
2876,2002-08-14
2877,2002-08-15
2878,2002-08-16
2879,2002-08-19
2880,2002-08-20
2881,2002-08-21
2882,2002-08-22
2883,2002-08-23
2884,2002-08-26
2885,2002-08-27
2886,2002-08-28
2887,2002-08-29
2888,2002-08-30
2889,2002-09-02
2890,2002-09-03
2891,2002-09-04
2892,2002-09-05
2893,2002-09-06
2894,2002-09-09
2895,2002-09-10
2896,2002-09-11
